[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 118066471)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 151414902)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 151414991)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 184800360)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 184800458)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 218157021)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 218157121)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 251524651)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 251524735)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 284916546)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 284916622)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 318281248)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 318281342)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 351647422)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 351647498)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 385023844)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 385023921)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 418390139)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 418390215)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 451763733)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 451763809)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 485136262)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 485136338)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 518506773)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 518506867)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 551881123)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 551881198)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 585242518)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 585242592)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 618609605)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 618609681)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 651978268)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 651978348)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 685354425)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 685354501)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 718714292)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 718714368)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 752085100)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 752085175)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 785456194)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 785456268)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 818823303)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 818823379)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 852192473)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 852192550)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 885566527)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 885566603)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 918934785)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 918934860)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 952302491)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 952302568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 985672360)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891717, 985672435)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 19040120)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 19040196)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 52410882)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 52410957)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 85788728)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 85788804)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 119139861)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 119139939)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 152521748)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 152521823)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 185893526)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 185893602)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 219263452)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 219263529)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891718, 252645720)}]]
