[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892079, 950388301)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892079, 950410867)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892079, 983826574)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892079, 983826686)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 17213728)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 17213824)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 50614830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 50614891)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 83988630)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 83988700)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 117365608)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 117365665)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 150745785)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 150745865)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 184134513)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 184134573)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 217515175)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 217515250)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 250891689)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 250891763)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 284283546)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 284283624)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 317662909)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 317662993)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 351041262)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 351041342)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 384437994)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 384438071)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 417816791)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 417816853)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 451194697)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 451194754)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 484582471)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 484582546)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 517961306)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 517961366)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 551337904)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 551337976)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 584725415)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681892080, 584725484)}]]
