[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 532336111)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 532336178)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 565750319)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 565750387)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 599124090)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 599124158)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 632489283)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 632489366)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 665856102)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 665856171)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 699213447)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 699213522)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 732589388)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 732589470)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 765939854)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 765939938)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 799293784)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 799293853)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 832659749)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 832659830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 866017935)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 866018003)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 899376174)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891062, 899376256)}]]
