[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 269496738)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 269516100)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 302960515)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 302960561)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 336397950)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 336397982)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 369787626)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 369787656)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 403175431)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 403175463)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 436565001)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 436565035)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 469944483)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 469944514)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 503335080)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 503335115)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 536719919)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 536719950)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 570097170)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 570097202)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 603484715)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 603484747)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 636874472)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 636874505)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 670251964)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 670251990)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 703642337)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 703642377)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 737031810)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 737031841)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 770412830)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 770412866)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 803800007)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 803800038)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 837188720)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 837188750)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 870566269)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 870566302)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 903956461)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681800135, 903956490)}]]
