[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 879961728)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 879981749)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 913595334)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 913595401)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 947185072)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 947185140)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 980783344)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893162, 980783411)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 14341857)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 14341916)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 47891912)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 47891983)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 81435292)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 81435340)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 115000796)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 115000862)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 148540347)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 148540400)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 182084933)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 182084985)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 215638256)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681893163, 215638314)}]]
