[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 529836342)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 529836417)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 563296133)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 563296210)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 596744618)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 596744696)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 630147469)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 630147548)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 663551443)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 663551522)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 696962275)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 696962353)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 730380457)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 730380536)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 763788705)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 763788783)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 797194691)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 797194769)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 830603189)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 830603267)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 864006151)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 864006229)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 897389362)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 897389426)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 930814676)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 930814754)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 964224295)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 964224374)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 997636679)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958439, 997636765)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 31035592)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 31035671)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 64442639)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 64442718)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 97842204)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 97842283)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 131259383)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 131259461)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 164664919)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 164664997)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 198073961)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 198074039)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 231467339)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 231467417)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 264869590)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 264869668)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 298280720)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 298280799)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 331673628)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 331673706)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 365079441)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 365079519)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 398483456)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 398483534)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 431884273)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 431884352)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 465258837)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 465258895)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 498664874)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 498664929)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 532068548)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 532068613)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 565471584)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 565471653)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 598869555)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 598877653)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 632289483)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 632289545)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 665677310)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 665677371)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 699080757)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 699080815)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 732484447)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 732484506)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 765901036)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 765901099)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 799315650)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 799315699)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 832742297)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 832742375)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 866147542)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 866147621)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 899556053)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 899556132)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 932963719)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 932963797)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 966383198)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 966383276)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 999775304)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958440, 999775382)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 33197150)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 33197219)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 66610888)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 66610965)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 100026555)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 100026633)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 133440898)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 133440977)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 166872848)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 166872925)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681958441, 200288206)}]]
