[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 576291295)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 609668352)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 609668422)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 643027428)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 643027517)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 676426965)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 676427042)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 709815656)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 709815733)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 743212302)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 743212371)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 776587599)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 776587678)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 809971439)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 809971517)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 843348402)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 843348480)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 876723737)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 876723814)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 910107175)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 910107254)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 943486980)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 943487057)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 976868674)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891412, 976868752)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 10251447)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 10251525)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 43625415)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 43625493)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 77002468)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 77002547)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 110392603)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 110392681)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 143764224)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 143764302)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 177140437)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 177140515)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 210533676)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 210533754)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 243907548)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 243907627)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 277280452)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 277280530)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 310673276)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 310673353)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 344043958)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 344044036)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 377419196)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 377419274)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 410809865)}]]
