[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 323351233)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 323376019)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 356861773)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 356861864)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 390358604)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 390358670)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 423747010)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 423747102)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 457130314)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 457130399)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 490546361)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 490546428)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 523912721)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 523912816)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 557302683)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 557302759)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 590668964)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 590669062)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 624064201)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 624064270)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 657438281)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 657438357)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 690814794)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 690814864)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 724201544)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 724201643)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 757569880)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 757569945)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 790979964)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 790980033)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 824366654)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 824366735)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 857727845)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 857727935)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 891121221)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 891121283)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 924467390)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 924467493)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 957854253)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 957854336)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 991244580)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897173, 991244642)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 24606045)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 24606134)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 57990637)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 57990693)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 91360267)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 91360323)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 124748377)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 124748467)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 158123958)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 158124048)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 191501924)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 191502009)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 224881784)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 224881881)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 258263280)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 258263375)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 291645262)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 291645352)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 325022158)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 325022245)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 358422093)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 358422157)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 391781514)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 391781596)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 425159289)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 425159369)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 458555094)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 458555156)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 491925327)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 491925425)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 525321121)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 525321181)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 558715976)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 558716037)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 592076624)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 592076707)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 625453279)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 625453364)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 658832729)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 658832820)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 692217182)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 692217261)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 725592763)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 725592818)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 758993547)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 758993622)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 792361415)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 792361487)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 825744082)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 825744154)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 859137185)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 859137246)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 892502053)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 892502133)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 925882437)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 925882518)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 959271828)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681897174, 959271894)}]]
