[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 291317774)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 291330250)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 324781810)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 324781887)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 358215306)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 358215379)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 391614648)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 391614717)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 425011683)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 425011750)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 458412899)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 458412971)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 525196764)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 558593860)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 558593929)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 591979400)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 625380427)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 658786923)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 658787006)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 692174183)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 758969184)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 758969228)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681888459, 825757224)}]]
