[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 81573463)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 114969013)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 114969072)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 148360090)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 148360162)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 181756531)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 181756608)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 215151935)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 215152012)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 248572324)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 248572367)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 281963538)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 281963581)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 315358877)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 315358917)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 348754426)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 348754467)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 382145623)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 382145666)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 415544486)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 415544542)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 448935492)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 448935539)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 482336572)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 482336618)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 515731975)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 515732018)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 549122224)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 549135925)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 582517550)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 582527144)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 615915826)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 615915875)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 649312578)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 649312622)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 682706699)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 682706745)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 716103726)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 716103767)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 749491690)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 749501274)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 782893932)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 782893973)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 816281900)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 816281952)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 849678860)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 849678904)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 883074986)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 883075026)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 916465736)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 916479189)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681896736, 949862955)}]]
